"stanox","tiploc"
81240,"AVONDKJ"
81239,"AVONILS"
81245,"AVONMCM"
81240,"AVONMTH"
81238,"AVONNP2"
81237,"AVONNPT"
81242,"AVONRCK"
81227,"AVONWFH"
81229,"AVONWWF"
76076,"AWRE"
83457,"AXMNSEJ"
"00000","AXMNSSA"
83466,"AXMNSTR"
"00000","AXMNSTS"
83456,"AXMNSWJ"
89309,"AYLESFD"
70354,"AYLSBRS"
70353,"AYLSBRY"
70352,"AYLSCCD"
70354,"AYLSDMU"
70351,"AYLSNL"
70355,"AYLSPWY"
70356,"AYLSVJN"
70343,"AYLSWAD"
69443,"AYNH501"
69444,"AYNH502"
69440,"AYNHOJ"
69441,"AYNHPKJ"
69442,"AYNHUGL"
"08618","AYRR"
"08604","AYRR335"
"08617","AYRR853"
"08607","AYRRABP"
"08621","AYRRCSD"
"08608","AYRRFHH"
"08607","AYRRHBR"
"00000","AYRRSTE"
"08614","AYRRTMD"
"08615","AYRRWRD"
"00000","AYSHMS"
23490,"BABWTHL"
38306,"BACHE"
81003,"BADMTN"
32522,"BAGE"
32123,"BAGLYFJ"
87102,"BAGSHOT"
58138,"BAGWDES"
58136,"BAGWJRS"
58140,"BAGWKM"
58135,"BAGWTHJ"
17038,"BAILDON"
"00738","BAISIEU"
"00000","BAKECH"
"00000","BAKEWEL"
87927,"BALCMTJ"
87963,"BALCOMB"
53015,"BALDOCK"
87222,"BALHAM"
87225,"BALHJN"
"07296","BALISTN"
"06121","BALLOCH"
"03040","BALMOSS"
30165,"BALSHWL"
34011,"BAMFORD"
"06013","BANAVIE"
40032,"BANG37"
40036,"BANGOR"
40040,"BANGRCS"
40035,"BANGRTC"
"00000","BANSBUS"
87677,"BANSTED"
"08409","BARACE"
"08410","BARADPL"
"08408","BARAFHH"
"08501","BARASCP"
"08411","BARASIE"
"08413","BARASIJ"
"08412","BARAUGL"
"00215","BARCEMR"
58114,"BARDFHH"
58112,"BARDGBR"
58113,"BARDHBR"
58115,"BARDHGF"
58111,"BARDNHQ"
58109,"BARDONH"
11711,"BARELA"
"00000","BARELAJ"
78351,"BARGOED"
78352,"BARGSDG"
49017,"BARH379"
49018,"BARHAM"
49019,"BARHFHH"
51531,"BARK103"
51531,"BARK104"
51513,"BARKADV"
51531,"BARKG1P"
"00000","BARKG21"
51531,"BARKG7P"
51532,"BARKGLT"
51531,"BARKING"
